"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"Ben Everitt","@Ben_Everitt","Conservative","Milton Keynes North",8794,4
"Ben Bradshaw ","@BenPBradshaw","Labour","Exeter",78311,51
"Ben Bradley","@BBradley_Mans","Conservative","Mansfield",34214,-1
"Bell Ribeiro-Addy","@BellRibeiroAddy","Labour","Streatham",61294,8
"Barry Sheerman ","@BarrySheerman","Labour","Huddersfield",23797,-5
"Barry Gardiner ","@BarryGardiner","Labour","Brent North",94323,3
"Barbara Keeley ","@KeeleyMP","Labour","Worsley and Eccles South",27236,4
"Bambos Charalambous","@Bambos_MP","Labour","Enfield, Southgate",11816,1
"Apsana Begum","@ApsanaBegumMP","Labour","Poplar and Limehouse",37875,3
"Anum Qaisar","@AnumSNP","Scottish National Party","Airdrie and Shotts",20542,6
"Antony Higginbotham","@antony_hig","Conservative","Burnley",4176,0
"Anthony Mangnall","@AnthonyMangnal1","Conservative","Totnes",9234,-3
"Anthony Browne","@ab4scambs","Conservative","South Cambridgeshire",5518,6
"Anneliese Dodds","@AnnelieseDodds","Labour","Oxford East",76801,218
"Anne-Marie Trevelyan ","@annietrev","Conservative","Berwick-upon-Tweed",31265,-1
"Anne McLaughlin ","@AnneMcLaughlin","Scottish National Party","Glasgow North East",14026,2
"Anne Marie Morris ","@AnneMarieMorris","Conservative","Newton Abbot",22014,7
"Anna McMorrin","@AnnaMcMorrin","Labour","Cardiff North",18291,11
"Anna Firth","@Anna_Firth","Conservative","Southend West",11043,7
"Angus MacNeil ","@AngusMacNeilSNP","Scottish National Party","Na h-Eileanan an Iar",44055,3
"Angela Richardson","@AJRichardsonMP","Conservative","Guildford",13874,2
"Angela Rayner ","@AngelaRayner","Labour","Ashton-under-Lyne",495516,324
"Angela Eagle ","@angelaeagle","Labour","Wallasey",81300,78
"Angela Crawley ","@AngelaCrawley30","Scottish National Party","Lanark and Hamilton East",13917,-2
"Andy Slaughter ","@hammersmithandy","Labour","Hammersmith",25983,-1
"Andy McDonald ","@AndyMcDonaldMP","Labour","Middlesbrough",51200,9
"Andy Carter","@MrAndy_Carter","Conservative","Warrington South",6085,3
"Andrew Stephenson ","@Andrew4Pendle","Conservative","Pendle",25247,-2
"Andrew Selous ","@AndrewSelous","Conservative","South West Bedfordshire",21770,-3
"Andrew Rosindell ","@AndrewRosindell","Conservative","Romford",23234,0
"Andrew Lewer","@ALewerMBE","Conservative","Northampton South",5092,0
"Andrew Jones","@AJonesMP","Conservative","Harrogate and Knaresborough",15914,-1
"Andrew Gwynne ","@GwynneMP","Labour","Denton and Reddish",52141,5
"Andrew Griffith","@griffitha","Conservative","Arundel and South Downs",6409,-2
"Andrew Bridgen ","@ABridgen","Conservative","North West Leicestershire",42974,-3
"Andrew Bowie","@AndrewBowie_MP","Conservative","West Aberdeenshire and Kincardine",21719,1
"Andrea Leadsom ","@andrealeadsom","Conservative","South Northamptonshire",125038,3
"Andrea Jenkyns ","@andreajenkyns","Conservative","Morley and Outwood",61609,-8
"Amy Callaghan","@AmyCallaghanSNP","Scottish National Party","East Dunbartonshire",15569,-2
"Amanda Solloway ","@ASollowayUK","Conservative","Derby North",6218,-3
"Amanda Milling ","@amandamilling","Conservative","Cannock Chase",24518,20
"Alyn Smith","@AlynSmith","Scottish National Party","Stirling",46572,9
"Alun Cairns ","@AlunCairns","Conservative","Vale of Glamorgan",14078,-4
"Alok Sharma ","@AlokSharma_RDG","Conservative","Reading West",73077,6
"Allan Dorans","@allandoransMP","Scottish National Party","Ayr, Carrick and Cumnock",846,0
"Alistair Carmichael","@amcarmichaelMP","Liberal Democrat","Orkney and Shetland",24417,-1
"Alison Thewliss ","@alisonthewliss","Scottish National Party","Glasgow Central",31191,-3
"Alison McGovern ","@Alison_McGovern","Labour","Wirral South",56707,12
"Alicia Kearns","@aliciakearns","Conservative","Rutland and Melton",19106,77
"Alexander Stafford","@Alex_Stafford","Conservative","Rother Valley",7257,3
