"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"Michelle Donelan ","@michelledonelan","Conservative","Chippenham",21879,-3
"Michael Tomlinson ","@Michael4MDNP","Conservative","Mid Dorset and North Poole",10857,-1
"Michael Gove ","@michaelgove","Conservative","Surrey Heath",239407,7
"Michael Fabricant ","@Mike_Fabricant","Conservative","Lichfield",52465,35
"Michael Ellis ","@Michael_Ellis1","Conservative","Northampton North",14709,-5
"Mhairi Black ","@MhairiBlack","Scottish National Party","Paisley and Renfrewshire South",225334,457
"Mel Stride","@MelJStride","Conservative","Central Devon",6585,-2
"Meg Hillier ","@Meg_HillierMP","Labour","Hackney South and Shoreditch",20883,4
"Matthew Pennycook ","@mtpennycook","Labour","Greenwich and Woolwich",23961,1
"Matthew Offord","@Offord4Hendon","Conservative","Hendon",10642,-1
"Matthew Hancock ","@MattHancock","Conservative","West Suffolk",424715,-48
"Matt Western","@MattWestern_","Labour","Warwick and Leamington",12095,8
"Matt Warman ","@mattwarman","Conservative","Boston and Skegness",19957,-4
"Matt Vickers","@Matt_VickersMP","Conservative","Stockton South",7092,9
"Matt Rodda","@MattRodda","Labour","Reading East",7414,3
"Mary Robinson ","@MaryRobinson01","Conservative","Cheadle",10621,5
"Mary Glindon","@GlindonMary","Labour","North Tyneside",1286,0
"Mary Foy","@marykfoy","Labour","City of Durham",15947,3
"Martyn Day ","@MartynDaySNP","Scottish National Party","Linlithgow and East Falkirk",11326,-1
"Martin Vickers ","@MartinVickers","Conservative","Cleethorpes",13015,-2
"Martin Docherty-Hughes","@MartinJDocherty","Scottish National Party","West Dunbartonshire",14223,0
"Marsha de Cordova","@MarshadeCordova","Labour","Battersea",40700,-7
"Mark Tami ","@MarkTamiMP","Labour","Alyn and Deeside",10222,-1
"Mark Spencer ","@Mark_Spencer","Conservative","Sherwood",21560,3
"Mark Pritchard ","@MPritchardUK","Conservative","The Wrekin",11739,3
"Mark Pawsey ","@MarkPawsey","Conservative","Rugby",8116,-1
"Mark Jenkinson","@markjenkinsonmp","Conservative","Workington",10656,23
"Mark Hendrick","@MpHendrick","Labour","Preston",5878,-1
"Mark Harper ","@Mark_J_Harper","Conservative","Forest of Dean",48710,5
"Mark Garnier ","@Mark4WyreForest","Conservative","Wyre Forest",16470,11
"Mark Eastwood","@mark4dewsbury","Conservative","Dewsbury",5362,-2
"Marion Fellows ","@marionfellows","Scottish National Party","Motherwell and Wishaw",12217,1
"Marie Rimmer ","@MarieRimmer","Labour","St Helens South and Whiston",13790,-3
"Maria Miller ","@MariaMillerUK","Conservative","Basingstoke",21529,1
"Maria Eagle ","@meaglemp","Labour","Garston and Halewood",48187,-2
"Maria Caulfield ","@mariacaulfield","Conservative","Lewes",23223,-6
"Margaret Hodge ","@margarethodge","Labour","Barking",54271,8
"Margaret Greenwood ","@MGreenwoodWW","Labour","Wirral West",22376,-1
"Margaret Ferrier ","@MargaretFerrier","Independent","Rutherglen and Hamilton West",16004,-1
"Marcus Jones ","@Marcus4Nuneaton","Conservative","Nuneaton",10230,-1
"Marcus Fysh ","@MarcusFysh","Conservative","Yeovil",25995,-9
"Marco Longhi","@marcolonghi4dn","Conservative","Dudley North",4747,1
"Maggie Throup ","@maggie_erewash","Conservative","Erewash",3695,-2
"Lyn Brown ","@lynbrownmp","Labour","West Ham",14630,3
"Luke Pollard","@LukePollard","Labour","Plymouth, Sutton and Devonport",42612,12
"Luke Hall ","@LukeHall","Conservative","Thornbury and Yate",5594,0
"Luke Evans","@drlukeevans","Conservative","Bosworth",9771,7
"Lucy Powell ","@LucyMPowell","Labour","Manchester Central",63840,9
"Lucy Frazer ","@lucyfrazermp","Conservative","South East Cambridgeshire",10134,-2
"Lucy Allan ","@lucyallan","Conservative","Telford",31342,-1
"Louise Haigh ","@LouHaigh","Labour","Sheffield, Heeley",54600,1
"Lloyd Russell-Moyle","@lloyd_rm","Labour","Brighton, Kemptown",31956,-2
"Liz Twist","@LizTwistMP","Labour","Blaydon",4695,1
"Liz Saville Roberts ","@LSRPlaid","Plaid Cymru","Dwyfor Meirionnydd",20922,0
"Liz Kendall ","@leicesterliz","Labour","Leicester West",96568,1
"Lisa Nandy ","@lisanandy","Labour","Wigan",261372,113
"Lisa Cameron","@DrLisaCameronMP","Scottish National Party","East Kilbride, Strathaven and Lesmahagow",14570,0
"Lindsay Hoyle","@LindsayHoyle_MP","Speaker","Chorley",41570,-4
"Lilian Greenwood ","@LilianGreenwood","Labour","Nottingham South",30437,-2
"Liam Byrne ","@liambyrnemp","Labour","Birmingham, Hodge Hill",38466,1
"Lia Nici","@lia_nici","Conservative","Great Grimsby",4347,5
"Leo Docherty","@LeoDochertyUK","Conservative","Aldershot",8232,1
"Lee Benjamin Rowley","@Lee4NED","Conservative","North East Derbyshire",10549,0
"Layla Moran","@LaylaMoran","Liberal Democrat","Oxford West and Abingdon",78206,14
"Laurence Robertson ","@lrobertsonTewks","Conservative","Tewkesbury",4869,4
"Laura Farris","@Laura__Farris","Conservative","Newbury",7674,-2
"Kwasi Kwarteng ","@KwasiKwarteng","Conservative","Spelthorne",35662,-1
"Kit Malthouse ","@kitmalthouse","Conservative","North West Hampshire",18423,-2
"Kirsty Blackman ","@KirstySNP","Scottish National Party","Aberdeen North",27413,10
"Kirsten Oswald ","@kirstenoswald","Scottish National Party","East Renfrewshire",16505,3
"Kim Johnson","@KimJohnsonMP","Labour","Liverpool, Riverside",17595,13
"Kieran John Mullan","@KieranMullanUK","Conservative","Crewe and Nantwich",4802,3
"Khalid Mahmood","@khalid4PB","Labour","Birmingham, Perry Barr",7226,3
"Kevin Hollinrake ","@kevinhollinrake","Conservative","Thirsk and Malton",12630,-1
"Kevin Foster ","@kevin_j_foster","Conservative","Torbay",8745,2
"Kevin Brennan ","@KevinBrennanMP","Labour","Cardiff West",26515,-1
"Kevan Jones ","@KevanJonesMP","Labour","North Durham",23581,1
"Kerry McCarthy ","@KerryMP","Labour","Bristol East",32861,0
"Kenny MacAskill","@KennyMacAskill","Scottish National Party","East Lothian",19899,-2
"Kemi Badenoch","@KemiBadenoch","Conservative","Saffron Walden",48732,-6
"Kelly Tolhurst ","@KellyTolhurst","Conservative","Rochester and Strood",15517,-1
"Keir Starmer ","@Keir_Starmer","Labour","Holborn and St Pancras",1234944,198
"Katherine Fletcher","@K_Fletcher_MP","Conservative","South Ribble",4936,1
"Kate Osborne","@KateOsborneMP","Labour","Jarrow",15767,30
"Kate Osamor ","@KateOsamor","Labour","Edmonton",35841,-11
"Kate Hollern ","@Kate_HollernMP","Labour","Blackburn",10300,0
"Kate Green ","@KateGreenSU","Labour","Stretford and Urmston",50986,3
"Karl Turner ","@KarlTurnerMP","Labour","Kingston upon Hull East",43657,26
"Karl McCartney ","@karlmccartney","Conservative","Lincoln",11597,0
"Karin Smyth ","@karinsmyth","Labour","Bristol South",14676,2
"Karen Buck ","@KarenPBuckMP","Labour","Westminster North",18866,1
"Justin Tomlinson ","@JustinTomlinson","Conservative","North Swindon",21206,0
"Justin Madders ","@justinmadders","Labour","Ellesmere Port and Neston",30418,2
"Julie Marson","@JulieMarsonMP","Conservative","Hertford and Stortford",4876,5
"Julie Elliott ","@JulieElliottMP","Labour","Sunderland Central",22190,-1
"Julian Sturdy","@JulianSturdy","Conservative","York Outer",3295,3
"Julian Smith ","@JulianSmithUK","Conservative","Skipton and Ripon",37636,-8
"Julian Knight ","@julianknight15","Conservative","Solihull",13409,0
"Julia Lopez","@JuliaLopezMP","Conservative","Hornchurch and Upminster",8097,0
"Judith Cummins ","@JudithCummins","Labour","Bradford South",15452,-1
"Joy Morrissey","@joymorrissey","Conservative","Beaconsfield",18740,-2
"Jonathan Reynolds ","@jreynoldsMP","Labour","Stalybridge and Hyde",54085,13
"Jonathan Lord","@JonathanLord","Conservative","Woking",3135,-2
"Jonathan Djanogly ","@JDjanogly","Conservative","Huntingdon",19626,-5
"Jonathan Ashworth ","@JonAshworth","Labour","Leicester South",115960,30
"Jon Trickett ","@jon_trickett","Labour","Hemsworth",92829,30
"Jon Cruddas ","@JonCruddas_1","Labour","Dagenham and Rainham",21825,5
"Johnny Mercer ","@JohnnyMercerUK","Conservative","Plymouth, Moor View",118002,19
"Johnny McNally","@JohnMcNallySNP","Scottish National Party","Falkirk",9533,0
"John Whittingdale ","@JWhittingdale","Conservative","Maldon",9112,-3
"John Stevenson ","@John4Carlisle","Conservative","Carlisle",14264,-3
"John Spellar ","@spellar","Labour","Warley",12005,2
"John Redwood ","@johnredwood","Conservative","Wokingham",134810,117
"John Penrose ","@JohnPenroseNews","Conservative","Weston-super-Mare",37453,0
"John Nicolson ","@MrJohnNicolson","Scottish National Party","Ochil and South Perthshire",45478,26
"John McDonnell ","@johnmcdonnellMP","Labour","Hayes and Harlington",310252,5
"John Lamont","@John2Win","Conservative","Berwickshire, Roxburgh and Selkirk",12130,1
"John Howell ","@JHowellUK","Conservative","Henley",8408,3
"John Healey ","@JohnHealey_MP","Labour","Wentworth and Dearne",32666,0
"John Glen ","@JohnGlenUK","Conservative","Salisbury",24597,1
"John Finucane","@johnfinucane","Sinn Féin","Belfast North",36347,51
"John Cryer","@JohnCryerMP","Labour","Leyton and Wanstead",6840,1
"Joanna Cherry QC ","@joannaccherry","Scottish National Party","Edinburgh South West",120173,26
"Jo Stevens ","@JoStevensLabour","Labour","Cardiff Central",34721,2
"Jo Gideon","@jogideon","Conservative","Stoke-on-Trent Central",5458,13
"Jo Churchill ","@Jochurchill_MP","Conservative","Bury St Edmunds",14134,-1
"Jim Shannon ","@JimShannonMP","Democratic Unionist Party","Strangford",4393,-1
"Jim McMahon ","@JimfromOldham","Labour","Oldham West and Royton",29002,12
"Jessica Morden ","@jessicamordenmp","Labour","Newport East",15153,1
"Jesse Norman ","@Jesse_Norman","Conservative","Hereford and South Herefordshire",26881,-3
"Jess Phillips ","@jessphillips","Labour","Birmingham, Yardley",537574,146
"Jerome Mayhew","@JeromeMayhew","Conservative","Broadland",3247,1
"Jeremy Hunt ","@Jeremy_Hunt","Conservative","South West Surrey",228217,-13
"Jeremy Corbyn ","@jeremycorbyn","Independent","Islington North",2465193,-93
"Jeffrey M. Donaldson ","@J_Donaldson_MP","Democratic Unionist Party","Lagan Valley",30069,36
"Jeff Smith ","@JeffSmithetc","Labour","Manchester, Withington",11589,3
"Jason McCartney ","@JasonMcCartney","Conservative","Colne Valley",18107,3
"Janet Daby","@JanetDaby","Labour","Lewisham East",12599,3
"Jane Stevenson","@Jane_Stevenson_","Conservative","Wolverhampton North East",5869,3
"Jane Hunt","@JaneMHunt","Conservative","Loughborough",3570,0
"Jamie Stone","@Jamie4North","Liberal Democrat","Caithness, Sutherland and Easter Ross",14226,-4
"Jamie Hamilton Wallis","@JamieWallisMP","Conservative","Bridgend",8122,-6
"James Wild","@jamesowild","Conservative","North West Norfolk",3150,0
"James Sunderland","@JamesSunderl","Conservative","Bracknell",4091,0
"James Murray","@jamesmurray_ldn","Labour","Ealing North",9398,5
"James Morris","@JamesMorris","Conservative","Halesowen and Rowley Regis",9649,-1
"James Heappey ","@JSHeappey","Conservative","Wells",20300,0
"James Gray ","@JGray","Conservative","North Wiltshire",19047,-2
"James Duddridge ","@JamesDuddridge","Conservative","Rochford and Southend East",32200,-3
"James Davies","@JamesDavies","Conservative","Vale of Clwyd",6257,0
"James Daly","@JamesDalyMP","Conservative","Bury North",5997,-1
"James Cleverly ","@JamesCleverly","Conservative","Braintree",116009,40
"James Cartlidge ","@jcartlidgemp","Conservative","South Suffolk",10600,-1
"James Brokenshire ","@JBrokenshire","Conservative","Old Bexley and Sidcup",30853,-6
"Jake Berry ","@JakeBerry","Conservative","Rossendale and Darwen",20524,-5
"Jacob Young","@JacobYoungMP","Conservative","Redcar",11813,12
"Jacob Rees-Mogg ","@Jacob_Rees_Mogg","Conservative","North East Somerset",454094,96
"Jackie Doyle-Price ","@JackieDP","Conservative","Thurrock",14288,-2
"Jack Lopresti ","@JackLopresti","Conservative","Filton and Bradley Stoke",9422,2
"Jack Dromey ","@JackDromeyMP","Labour","Birmingham, Erdington",25071,-1
"Imran Nasir Ahmad Khan","@imranahmadkhan","Conservative","Wakefield",5986,1
"Imran Hussain ","@Imran_HussainMP","Labour","Bradford East",22219,-2
"Ian Murray ","@IanMurrayMP","Labour","Edinburgh South",33927,4
"Ian Mearns ","@IanMearnsMP","Labour","Gateshead",28493,-4
"Ian Lavery ","@IanLaveryMP","Labour","Wansbeck",93056,-2
"Ian Byrne","@IanByrneMP","Labour","Liverpool, West Derby",37032,232
"Ian Blackford ","@Ianblackford_MP","Scottish National Party","Ross, Skye and Lochaber",173622,196
"Iain Stewart ","@iainastewart","Conservative","Milton Keynes South",19200,5
"Iain Duncan Smith","@MPIainDS","Conservative","Chingford and Woodford Green",62044,3
"Hywel Williams ","@HywelPlaidCymru","Plaid Cymru","Arfon",10588,-2
"Huw Merriman ","@HuwMerriman","Conservative","Bexhill and Battle",20829,4
"Holly Lynch ","@HollyLynch5","Labour","Halifax",27602,10
"Hilary Benn ","@hilarybennmp","Labour","Leeds Central",170008,23
"Henry Smith ","@HenrySmithUK","Conservative","Crawley",17657,-2
"Helen Whately ","@Helen_Whately","Conservative","Faversham and Mid Kent",24848,-6
"Helen Morgan","@HelenMorganMP","Liberal Democrat","North Shropshire",14007,13
"Helen Hayes ","@helenhayes_","Labour","Dulwich and West Norwood",26398,6
"Helen Grant ","@HelenGrantMP","Conservative","Maidstone and The Weald",22760,35
"Heather Wheeler ","@HeatherWheeler","Conservative","South Derbyshire",20951,-1
"Harriett Baldwin ","@hbaldwin","Conservative","West Worcestershire",28394,-2
"Harriet Harman QC ","@HarrietHarman","Labour","Camberwell and Peckham",189254,22
"Hannah Bardell ","@HannahB4LiviMP","Scottish National Party","Livingston",26022,0
"Guy Opperman ","@GuyOpperman","Conservative","Hexham",22830,-2
"Greg Smith","@gregsmith_uk","Conservative","Buckingham",8294,1
"Greg Knight ","@GregKnight","Conservative","East Yorkshire",11802,-1
"Greg Hands ","@GregHands","Conservative","Chelsea and Fulham",45814,-3
"Greg Clark","@GregClarkMP","Conservative","Tunbridge Wells",32633,-2
"Grant Shapps ","@grantshapps","Conservative","Welwyn Hatfield",173351,-14
"Grahame Morris ","@grahamemorris","Labour","Easington",32935,1
"Graham Stuart ","@grahamstuart","Conservative","Beverley and Holderness",17881,-2
"Graham Brady","@SirGrahamBrady","Conservative","Altrincham and Sale West",23007,-5
"Gillian Keegan","@GillianKeegan","Conservative","Chichester",16253,-5
"Gill Furniss ","@GillFurnissMP","Labour","Sheffield, Brightside and Hillsborough",7497,0
"Giles Watling","@GilesWatling","Conservative","Clacton",4671,0
"Gerald Jones ","@GeraldJonesLAB","Labour","Merthyr Tydfil and Rhymney",7883,3
"Geraint Davies ","@GeraintDaviesMP","Labour","Swansea West",16305,0
"George Freeman ","@GeorgeFreemanMP","Conservative","Mid Norfolk",31466,0
"Geoffrey Cox QC ","@Geoffrey_Cox","Conservative","Torridge and West Devon",40299,-1
"Gavin Williamson ","@GavinWilliamson","Conservative","South Staffordshire",105325,0
"Gavin Robinson ","@GRobinsonDUP","Democratic Unionist Party","Belfast East",15016,3
"Gavin Newlands ","@GavNewlandsSNP","Scottish National Party","Paisley and Renfrewshire North",14692,-3
"Gary Streeter ","@garystreeterSWD","Conservative","South West Devon",5600,-2
"Gary Sambrook","@GarySambrook89","Conservative","Birmingham, Northfield",5603,2
"Gareth Thomas ","@GarethThomasMP","Labour","Harrow West",17842,3
"Gareth Davies","@GarethDavies_MP","Conservative","Grantham and Stamford",7219,-1
"Gareth Bacon","@GarethBaconMP","Conservative","Orpington",6213,5
"Gagan Mohindra","@gaganmohindra","Conservative","South West Hertfordshire",4623,0
"Francie Molloy ","@FrancieMolloy","Sinn Féin","Mid Ulster",9005,19
"Florence Eshalomi","@FloEshalomi","Labour","Vauxhall",30775,-3
"Fleur Anderson","@PutneyFleur","Labour","Putney",16591,0
"Fiona Bruce","@UK_FoRBEnvoy","Conservative","Congleton",2499,4
"Feryal Clark","@FeryalClark","Labour","Enfield North",12030,-6
"Felicity Buchan","@FelicityBuchan","Conservative","Kensington",7220,4
"Fay Alicia Jones","@JonesyFay","Conservative","Brecon and Radnorshire",7080,10
"Fabian Hamilton","@FabianLeedsNE","Labour","Leeds North East",7155,3
"Esther McVey","@EstherMcVey1","Conservative","Tatton",74736,-33
"Emma Lewell-Buck ","@EmmaLewellBuck","Labour","South Shields",27577,6
"Emma Hardy","@EmmaHardyMP","Labour","Kingston upon Hull West and Hessle",30113,65
"Emily Thornberry ","@EmilyThornberry","Labour","Islington South and Finsbury",248636,62
"Elliot Colburn","@ElliotColburn","Conservative","Carshalton and Wallington",8464,2
"Ellie Reeves","@elliereeves","Labour","Lewisham West and Penge",25519,3
"Elizabeth Truss ","@trussliz","Conservative","South West Norfolk",231516,602
"Eleanor Laing ","@eleanor4epping","Conservative","Epping Forest",13812,-1
"Edward Timpson","@edwardtimpson","Conservative","Eddisbury",6838,2
"Edward Miliband ","@Ed_Miliband","Labour","Doncaster North",781412,155
"Edward Leigh ","@EdwardLeighMP","Conservative","Gainsborough",15985,0
"Edward Davey","@EdwardJDavey","Liberal Democrat","Kingston and Surbiton",83303,18
"Eddie Hughes","@EddieHughes4WN","Conservative","Walsall North",12757,122
"Duncan Charles Baker","@duncancbaker","Conservative","North Norfolk",4458,3
"Drew Hendry ","@drewhendrySNP","Scottish National Party","Inverness, Nairn, Badenoch and Strathspey",16249,1
"Dr Thérèse Coffey ","@theresecoffey","Conservative","Suffolk Coastal",28352,-5
"Dr Rupa Huq ","@RupaHuq","Labour","Ealing Central and Acton",49416,1
"Dr Rosena Allin-Khan ","@DrRosena","Labour","Tooting",206555,7
"Dr Philippa Whitford ","@Dr_PhilippaW","Scottish National Party","Central Ayrshire",39542,4
"Dr Liam Fox ","@LiamFox","Conservative","North Somerset",105297,-12
"Dr Caroline Johnson ","@drcarolinej","Conservative","Sleaford and North Hykeham",7040,-1
"Dr Andrew Murrison ","@AWMurrison","Conservative","South West Wiltshire",16397,-6
"Dr Alan Whitehead ","@alanwhiteheadmp","Labour","Southampton, Test",8649,2
"Douglas Ross","@Douglas4Moray","Conservative","Moray",40524,0
"Douglas Chapman ","@DougChapmanSNP","Scottish National Party","Dunfermline and West Fife",15296,4
"Dominic Raab","@DominicRaab","Conservative","Esher and Walton",345301,-10
"Diane Abbott ","@HackneyAbbott","Labour","Hackney North and Stoke Newington",396425,-12
"Diana Johnson ","@DianaJohnsonMP","Labour","Kingston upon Hull North",29746,5
"Desmond Swayne ","@DesmondSwayne","Conservative","New Forest West",62036,-3
"Derek Twigg ","@DerekTwiggMP","Labour","Halton",7042,-3
"Derek Thomas ","@DerekThomasUK","Conservative","St Ives",6184,-2
"Deidre Brock ","@DeidreBrock","Scottish National Party","Edinburgh North and Leith",17158,-1
"Dehenna Davison","@DehennaDavison","Conservative","Bishop Auckland",51860,4
"Debbie Abrahams ","@Debbie_abrahams","Labour","Oldham East and Saddleworth",54136,-4
"Dean Russell","@dean4watford","Conservative","Watford",4646,-1
"Dawn Butler ","@DawnButlerBrent","Labour","Brent Central",242135,-9
"David Warburton ","@DJWarburton","Conservative","Somerton and Frome",16792,-2
